name
MS Dhoni
KL Rahul
Rishabh Pant
Sanju Samson
Dinesh Karthik
Robin Uthappa
Wriddhiman Saha
Parthiv Patel
Naman Ojha
Ishan Kishan
Jitesh Sharma
Prabhsimran Singh
KS Bharat
Sandeep Lamichhane
Phil Salt
Jos Buttler
Quinton de Kock
Heinrich Klaasen
Nicholas Pooran
Jonny Bairstow
Adam Gilchrist
Kumar Sangakkara
Brendon McCullum
Sam Billings
Luke Ronchi
Tim Seifert
Josh Inglis
Ryan Rickelton
Mark Boucher
Wicket Dhruv
Anuj Rawat
Vishnu Vinod
Tristan Stubbs
Donovan Ferreira
Jagadeesha Suchith
Kusal Perera
Nicholas Pooran
Quinton de Kock
